trip_id,start_time,end_time,headway_secs
40026111,15:01:00,21:00:00,300
40026110,06:00:00,09:00:00,300
40026110,09:01:00,15:00:00,900
40026110,15:01:00,21:00:00,300
40033511,06:00:00,09:00:00,300
40033511,09:01:00,15:00:00,900
40033511,15:01:00,21:00:00,300
40033510,06:00:00,09:00:00,300
40033510,09:01:00,15:00:00,900
40033510,15:01:00,21:00:00,300
40033411,06:00:00,09:00:00,300
40033411,09:01:00,15:00:00,900
40033411,15:01:00,21:00:00,300
40033410,06:00:00,09:00:00,300
40033410,09:01:00,15:00:00,900
40033410,15:01:00,21:00:00,300
40033211,06:00:00,09:00:00,300
40033211,09:01:00,15:00:00,900
40033211,15:01:00,21:00:00,300
40033210,06:00:00,09:00:00,300
40033210,09:01:00,15:00:00,900
40033210,15:01:00,21:00:00,300
40033111,06:00:00,09:00:00,300
40033111,09:01:00,15:00:00,900
40033111,15:01:00,21:00:00,300
40033110,06:00:00,09:00:00,300
40033110,09:01:00,15:00:00,900
40033110,15:01:00,21:00:00,300
40034111,06:00:00,09:00:00,300
40034111,09:01:00,15:00:00,900
40034111,15:01:00,21:00:00,300
40034110,06:00:00,09:00:00,300
40034110,09:01:00,15:00:00,900
40034110,15:01:00,21:00:00,300
4034B111,06:00:00,09:00:00,300
4034B111,09:01:00,15:00:00,900
4034B111,15:01:00,21:00:00,300
4034B110,06:00:00,09:00:00,300
4034B110,09:01:00,15:00:00,900
4034B110,15:01:00,21:00:00,300
40036111,06:00:00,09:00:00,300
40036111,09:01:00,15:00:00,900
40036111,15:01:00,21:00:00,300
40036110,06:00:00,09:00:00,300
40036110,09:01:00,15:00:00,900
40036110,15:01:00,21:00:00,300
43560221,06:00:00,09:00:00,300
43560221,09:01:00,15:00:00,900
43560221,15:01:00,21:00:00,300
43560220,06:00:00,09:00:00,300
43560220,09:01:00,15:00:00,900
43560220,15:01:00,21:00:00,300
40058111,06:00:00,09:00:00,300
40058111,09:01:00,15:00:00,900
40058111,15:01:00,21:00:00,300
40058110,06:00:00,09:00:00,300
40058110,09:01:00,15:00:00,900
40058110,15:01:00,21:00:00,300
40405211,06:00:00,09:00:00,300
40405211,09:01:00,15:00:00,900
40405211,15:01:00,21:00:00,300
40405210,06:00:00,09:00:00,300
40405210,09:01:00,15:00:00,900
40405210,15:01:00,21:00:00,300
41960111,06:00:00,09:00:00,300
41960111,09:01:00,15:00:00,900
41960111,15:01:00,21:00:00,300
41960110,06:00:00,09:00:00,300
41960110,09:01:00,15:00:00,900
41960110,15:01:00,21:00:00,300
41961111,06:00:00,09:00:00,300
41961111,09:01:00,15:00:00,900
41961111,15:01:00,21:00:00,300
41961110,06:00:00,09:00:00,300
41961110,09:01:00,15:00:00,900
41961110,15:01:00,21:00:00,300
41961121,06:00:00,09:00:00,300
41961121,09:01:00,15:00:00,900
41961121,15:01:00,21:00:00,300
41961120,06:00:00,09:00:00,300
41961120,09:01:00,15:00:00,900
41961120,15:01:00,21:00:00,300
43560111,06:00:00,09:00:00,300
43560111,09:01:00,15:00:00,900
43560111,15:01:00,21:00:00,300
43560110,06:00:00,09:00:00,300
43560110,09:01:00,15:00:00,900
43560110,15:01:00,21:00:00,300
43839111,06:00:00,09:00:00,300
43839111,09:01:00,15:00:00,900
43839111,15:01:00,21:00:00,300
43839110,06:00:00,09:00:00,300
43839110,09:01:00,15:00:00,900
43839110,15:01:00,21:00:00,300
47071111,06:00:00,09:00:00,300
47071111,09:01:00,15:00:00,900
47071111,15:01:00,21:00:00,300
47071110,06:00:00,09:00:00,300
47071110,09:01:00,15:00:00,900
47071110,15:01:00,21:00:00,300
40405111,06:00:00,09:00:00,300
40405111,09:01:00,15:00:00,900
40405111,15:01:00,21:00:00,300
40405110,06:00:00,09:00:00,300
40405110,09:01:00,15:00:00,900
40405110,15:01:00,21:00:00,300
43560211,06:00:00,09:00:00,300
43560211,09:01:00,15:00:00,900
43560211,15:01:00,21:00:00,300
43560210,06:00:00,09:00:00,300
43560210,09:01:00,15:00:00,900
43560210,15:01:00,21:00:00,300
50011111,06:00:00,09:00:00,300
50011111,09:00:01,15:00:00,900
50011111,15:00:01,21:00:00,300
50011110,06:00:00,09:00:00,300
50011110,09:00:01,15:00:00,900
50011110,15:00:01,21:00:00,300
5012C111,06:00:00,09:00:00,300
5012C111,09:00:01,15:00:00,900
5012C111,15:00:01,21:00:00,300
5012C110,06:00:00,09:00:00,300
5012C110,09:00:01,15:00:00,900
5012C110,15:00:01,21:00:00,300
5012D111,06:00:00,09:00:00,300
5012D111,09:00:01,15:00:00,900
5012D111,15:00:01,21:00:00,300
5012D110,06:00:00,09:00:00,300
5012D110,09:00:01,15:00:00,900
5012D110,15:00:01,21:00:00,300
5014A111,06:00:00,09:00:00,300
5014A111,09:00:01,15:00:00,900
5014A111,15:00:01,21:00:00,300
5014A110,06:00:00,09:00:00,300
5014A110,09:00:01,15:00:00,900
5014A110,15:00:01,21:00:00,300
5014B111,06:00:00,09:00:00,300
5014B111,09:00:01,15:00:00,900
5014B111,15:00:01,21:00:00,300
5014B110,06:00:00,09:00:00,300
5014B110,09:00:01,15:00:00,900
5014B110,15:00:01,21:00:00,300
50015111,06:00:00,09:00:00,300
50015111,09:00:01,15:00:00,900
50015111,15:00:01,21:00:00,300
50015110,06:00:00,09:00:00,300
50015110,09:00:01,15:00:00,900
50015110,15:00:01,21:00:00,300
50016111,06:00:00,09:00:00,300
50016111,09:00:01,15:00:00,900
50016111,15:00:01,21:00:00,300
50016110,06:00:00,09:00:00,300
50016110,09:00:01,15:00:00,900
50016110,15:00:01,21:00:00,300
50024211,06:00:00,09:00:00,300
50024211,09:00:01,15:00:00,900
50024211,15:00:01,21:00:00,300
50024210,06:00:00,09:00:00,300
50024210,09:00:01,15:00:00,900
50024210,15:00:01,21:00:00,300
50024111,06:00:00,09:00:00,300
50024111,09:00:01,15:00:00,900
50024111,15:00:01,21:00:00,300
50024110,06:00:00,09:00:00,300
50024110,09:00:01,15:00:00,900
50024110,15:00:01,21:00:00,300
50033161,06:00:00,09:00:00,300
50033161,09:00:01,15:00:00,900
50033161,15:00:01,21:00:00,300
50033160,06:00:00,09:00:00,300
50033160,09:00:01,15:00:00,900
50033160,15:00:01,21:00:00,300
50033131,06:00:00,09:00:00,300
50033131,09:00:01,15:00:00,900
50033131,15:00:01,21:00:00,300
50033130,06:00:00,09:00:00,300
50033130,09:00:01,15:00:00,900
50033130,15:00:01,21:00:00,300
50033141,06:00:00,09:00:00,300
50033141,09:00:01,15:00:00,900
50033141,15:00:01,21:00:00,300
50033140,06:00:00,09:00:00,300
50033140,09:00:01,15:00:00,900
50033140,15:00:01,21:00:00,300
50033111,06:00:00,09:00:00,300
50033111,09:00:01,15:00:00,900
50033111,15:00:01,21:00:00,300
50033110,06:00:00,09:00:00,300
50033110,09:00:01,15:00:00,900
50033110,15:00:01,21:00:00,300
50033311,06:00:00,09:00:00,300
50033311,09:00:01,15:00:00,900
50033311,15:00:01,21:00:00,300
50033310,06:00:00,09:00:00,300
50033310,09:00:01,15:00:00,900
50033310,15:00:01,21:00:00,300
50110111,06:00:00,09:00:00,300
50110111,09:00:01,15:00:00,900
50110111,15:00:01,21:00:00,300
50110110,06:00:00,09:00:00,300
50110110,09:00:01,15:00:00,900
50110110,15:00:01,21:00:00,300
50110121,06:00:00,09:00:00,300
50110121,09:00:01,15:00:00,900
50110121,15:00:01,21:00:00,300
50110120,06:00:00,09:00:00,300
50110120,09:00:01,15:00:00,900
50110120,15:00:01,21:00:00,300
50110211,06:00:00,09:00:00,300
50110211,09:00:01,15:00:00,900
50110211,15:00:01,21:00:00,300
50110210,06:00:00,09:00:00,300
50110210,09:00:01,15:00:00,900
50110210,15:00:01,21:00:00,300
50125111,06:00:00,09:00:00,300
50125111,09:00:01,15:00:00,900
50125111,15:00:01,21:00:00,300
50125110,06:00:00,09:00:00,300
50125110,09:00:01,15:00:00,900
50125110,15:00:01,21:00:00,300
50126211,06:00:00,09:00:00,300
50126211,09:00:01,15:00:00,900
50126211,15:00:01,21:00:00,300
50126210,06:00:00,09:00:00,300
50126210,09:00:01,15:00:00,900
50126210,15:00:01,21:00:00,300
50126111,06:00:00,09:00:00,300
50126111,09:00:01,15:00:00,900
50126111,15:00:01,21:00:00,300
50126110,06:00:00,09:00:00,300
50126110,09:00:01,15:00:00,900
50126110,15:00:01,21:00:00,300
50011121,06:00:00,09:00:00,300
50011121,09:00:01,15:00:00,900
50011121,15:00:01,21:00:00,300
50011120,06:00:00,09:00:00,300
50011120,09:00:01,15:00:00,900
50011120,15:00:01,21:00:00,300
6007C111,06:00:00,09:00:00,300
6007C111,09:00:01,15:00:00,900
6007C111,15:00:01,21:00:00,300
6007C110,06:00:00,09:00:00,300
6007C110,09:00:01,15:00:00,900
6007C110,15:00:01,21:00:00,300
60046111,06:00:00,09:00:00,300
60046111,09:00:01,15:00:00,900
60046111,15:00:01,21:00:00,300
60046110,06:00:00,09:00:00,300
60046110,09:00:01,15:00:00,900
60046110,15:00:01,21:00:00,300
60046211,06:00:00,09:00:00,300
60046211,09:00:01,15:00:00,900
60046211,15:00:01,21:00:00,300
60046210,06:00:00,09:00:00,300
60046210,09:00:01,15:00:00,900
60046210,15:00:01,21:00:00,300
60056111,06:00:00,09:00:00,300
60056111,09:00:01,15:00:00,900
60056111,15:00:01,21:00:00,300
